,Preprocessing,Silhouette,Calinski-Harabasz,Davies-Bouldin
3,No Preprocessing,0.3229,651.9984,1.1127
4,No Preprocessing,0.3345,644.6835,0.9707
5,No Preprocessing,0.3195,629.0829,1.0147
6,No Preprocessing,0.327,651.4176,0.9497
3,Normalization,0.0029,2.6857,12.9357
4,Normalization,0.0027,2.4812,10.6348
5,Normalization,0.0023,2.275,10.6479
6,Normalization,0.0023,2.147,10.1138
3,Transformation,0.4008,1167.6152,0.8744
4,Transformation,0.3459,1024.8411,1.0108
5,Transformation,0.3538,974.3792,0.9322
6,Transformation,0.3506,964.7733,0.9312
3,PCA,0.3283,652.4995,1.0804
4,PCA,0.3346,644.689,0.9713
5,PCA,0.3202,629.4024,1.0133
6,PCA,0.327,651.4176,0.9497
3,Transformation + Normalization,0.0036,2.8327,11.4686
4,Transformation + Normalization,0.0025,2.4888,11.4152
5,Transformation + Normalization,0.0,2.253,11.1939
6,Transformation + Normalization,0.0032,2.2259,9.8378
3,Transformation + Normalization + PCA,0.0017,2.61,11.0089
4,Transformation + Normalization + PCA,0.0021,2.4726,11.2756
5,Transformation + Normalization + PCA,0.0024,2.2341,11.968
6,Transformation + Normalization + PCA,0.0028,2.1725,10.1205
